Aggregated engagement metrics for your organic and sponsored posts over time. Date indicates when your posts were viewed by LinkedIn members. Data is delayed by up to 2 days. All dates and times are in UTC.,,,,,,,,,,,,,,,,,,,
Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
08/11/2023,147,0,147,75,1,0,1,1,0,1,1,0,1,0,0,0,0.02040816327,0,0.02040816327
08/12/2023,168,0,168,66,12,0,12,4,0,4,3,0,3,1,0,1,0.119047619,0,0.119047619
08/13/2023,73,0,73,60,1,0,1,0,0,0,0,0,0,0,0,0,0.01369863014,0,0.01369863014
08/14/2023,137,0,137,83,2,0,2,2,0,2,0,0,0,0,0,0,0.02919708029,0,0.02919708029
08/15/2023,210,0,210,62,2,0,2,1,0,1,0,0,0,0,0,0,0.01428571429,0,0.01428571429
08/16/2023,122,0,122,60,1,0,1,2,0,2,0,0,0,0,0,0,0.02459016393,0,0.02459016393
08/17/2023,66,0,66,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/18/2023,89,0,89,48,16,0,16,0,0,0,0,0,0,0,0,0,0.1797752809,0,0.1797752809
08/19/2023,35,0,35,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/20/2023,80,0,80,39,7,0,7,0,0,0,0,0,0,0,0,0,0.0875,0,0.0875
08/21/2023,435,0,435,255,21,0,21,18,0,18,1,0,1,6,0,6,0.1057471264,0,0.1057471264
08/22/2023,129,0,129,76,10,0,10,5,0,5,0,0,0,0,0,0,0.1162790698,0,0.1162790698
08/23/2023,581,0,581,304,23,0,23,15,0,15,0,0,0,0,0,0,0.06540447504,0,0.06540447504
08/24/2023,232,0,232,135,8,0,8,5,0,5,0,0,0,3,0,3,0.06896551724,0,0.06896551724
08/25/2023,289,0,289,105,2,0,2,2,0,2,0,0,0,0,0,0,0.01384083045,0,0.01384083045
08/26/2023,79,0,79,54,2,0,2,2,0,2,0,0,0,0,0,0,0.05063291139,0,0.05063291139
08/27/2023,69,0,69,48,2,0,2,3,0,3,0,0,0,0,0,0,0.07246376812,0,0.07246376812
08/28/2023,776,0,776,463,15,0,15,47,0,47,2,0,2,0,0,0,0.0824742268,0,0.0824742268
08/29/2023,783,0,783,455,9,0,9,26,0,26,1,0,1,0,0,0,0.04597701149,0,0.04597701149
08/30/2023,204,0,204,50,7,0,7,7,0,7,3,0,3,0,0,0,0.08333333333,0,0.08333333333
08/31/2023,125,0,125,46,5,0,5,9,0,9,1,0,1,0,0,0,0.12,0,0.12
09/01/2023,361,0,361,199,0,0,0,12,0,12,0,0,0,1,0,1,0.03601108033,0,0.03601108033
09/02/2023,108,0,108,56,2,0,2,7,0,7,0,0,0,0,0,0,0.08333333333,0,0.08333333333
09/03/2023,163,0,163,129,2,0,2,2,0,2,0,0,0,0,0,0,0.0245398773,0,0.0245398773
09/04/2023,811,0,811,502,15,0,15,17,0,17,1,0,1,1,0,1,0.04192355117,0,0.04192355117
09/05/2023,394,0,394,201,4,0,4,7,0,7,0,0,0,0,0,0,0.02791878173,0,0.02791878173
09/06/2023,212,0,212,139,1,0,1,2,0,2,1,0,1,0,0,0,0.01886792453,0,0.01886792453
09/07/2023,240,0,240,102,0,0,0,1,0,1,0,0,0,0,0,0,0.004166666667,0,0.004166666667
09/08/2023,330,0,330,81,1,0,1,3,0,3,0,0,0,2,0,2,0.01818181818,0,0.01818181818
09/09/2023,98,0,98,59,1,0,1,2,0,2,0,0,0,0,0,0,0.0306122449,0,0.0306122449
09/10/2023,94,0,94,69,2,0,2,1,0,1,0,0,0,0,0,0,0.03191489362,0,0.03191489362
09/11/2023,1041,0,1041,677,18,0,18,23,0,23,0,0,0,1,0,1,0.04034582133,0,0.04034582133
09/12/2023,209,0,209,140,15,0,15,5,0,5,0,0,0,0,0,0,0.0956937799,0,0.0956937799
