"applications","connections","day","year","isoWeek","isoYear","isoYearIsoWeek","jobApplicationCandidateIds","month","pageviews","sessions","uniquePageviews"
0,0,26,2022,12,,202212,"[]",3,8,7,
1,0,23,2022,25,,202225,"[""30179735""]",6,6,1,
0,0,4,2022,18,,202218,"[]",5,3,3,
0,0,10,2022,2,,20222,"[]",1,9,1,
0,0,24,2022,4,,20224,"[]",1,5,3,
1,0,2,2021,35,,202135,"[""17285822""]",9,1,0,
1,0,15,2022,19,,202219,"[""25584611""]",5,2,0,
1,0,29,2022,21,,202221,"[""29102451""]",5,5,1,
2,0,4,2022,5,,20225,"[""24409285"",""24414975""]",2,2,1,
3,0,2,2021,22,,202122,"[""14978439"",""14971473"",""14970687""]",6,1,0,
1,0,17,2021,15,,202115,"[""13578856""]",4,7,2,
1,0,15,2022,11,,202211,"[""25999898""]",3,10,3,
1,0,27,2021,25,,202125,"[""15482804""]",6,1,0,
2,0,20,2022,16,,202216,"[""2953691"",""27583288""]",4,4,0,
0,0,15,2021,41,,202141,"[]",10,1,0,
2,0,7,2022,27,,202227,"[""30801572"",""30786473""]",7,8,2,
1,0,26,2021,21,,202121,"[""14789258""]",5,1,0,
1,0,11,2022,6,,20226,"[""24707341""]",2,8,3,
1,0,5,2022,22,,202222,"[""29416690""]",6,5,3,
4,0,22,2022,20,,202220,"[""28814734"",""28799086"",""28800192"",""28805477""]",5,3,1,
4,0,30,2022,26,,202226,"[""30510943"",""30515931"",""30270311"",""25033150""]",6,6,3,
1,0,13,2022,15,,202215,"[""6372578""]",4,5,2,
1,0,8,2022,10,,202210,"[""25743195""]",3,6,1,
1,0,2,2021,44,,202144,"[""19574534""]",11,1,1,
0,0,29,2022,13,,202213,"[]",3,4,2,
1,0,15,2021,28,,202128,"[""11959487""]",7,1,0,
1,0,13,2021,50,,202150,"[""21417110""]",12,3,1,
3,0,1,2022,9,,20229,"[""25450812"",""25464159"",""25445783""]",3,14,5,
0,0,27,2021,17,,202117,"[]",4,2,1,
1,0,7,2022,1,,20221,"[""23306905""]",1,3,2,
1,0,15,2021,19,,202119,"[""4955704""]",5,4,3,
2,0,21,2022,3,,20223,"[""21345135"",""23890219""]",1,16,6,
2,0,8,2021,40,,202140,"[""17207597"",""18728052""]",10,2,0,
1,0,23,2022,16,,202216,"[""27673696""]",4,1,0,
3,0,22,2022,8,,20228,"[""25205460"",""25206455"",""25199252""]",2,11,1,
0,0,6,2021,49,,202149,"[]",12,1,1,
2,0,22,2022,12,,202212,"[""26315615"",""23451480""]",3,10,3,
1,0,1,2021,39,,202139,"[""10285388""]",10,1,0,
3,0,19,2022,24,,202224,"[""26112936"",""30014096"",""30007056""]",6,3,0,
0,0,28,2022,4,,20224,"[]",1,4,3,
0,0,8,2021,18,,202118,"[]",5,1,1,
2,0,14,2022,2,,20222,"[""23589545"",""23577395""]",1,6,1,
1,0,20,2021,16,,202116,"[""13818534""]",4,1,0,
4,0,25,2022,21,,202221,"[""11679238"",""28963746"",""9272176"",""19166411""]",5,11,5,
1,0,6,2021,36,,202136,"[""17392484""]",9,1,0,
3,0,20,2021,51,,202151,"[""21613374"",""7444694"",""18865704""]",12,6,2,
0,0,13,2021,15,,202115,"[]",4,2,0,
2,0,8,2022,6,,20226,"[""24569138"",""24569593""]",2,6,2,
0,0,25,2021,47,,202147,"[]",11,1,0,
2,0,19,2022,11,,202211,"[""16898554"",""26203390""]",3,12,3,
1,0,3,2022,26,,202226,"[""30590215""]",7,3,2,
2,0,29,2021,30,,202130,"[""16366835"",""16368211""]",7,1,0,
3,0,15,2022,7,,20227,"[""24924376"",""24904069"",""15280474""]",2,7,2,
2,0,6,2021,14,,202114,"[""13421090"",""12961880""]",4,2,1,
2,0,18,2022,20,,202220,"[""16068458"",""28621126""]",5,17,13,
1,0,1,2022,22,,202222,"[""29278126""]",6,2,0,
3,0,9,2022,14,,202214,"[""11679238"",""26172355"",""2800326""]",4,8,2,
3,0,5,2021,31,,202131,"[""16161046"",""15277231"",""16528652""]",8,3,0,
2,0,26,2022,25,,202225,"[""30259539"",""30229433""]",6,6,4,
2,0,30,2021,26,,202126,"[""15576454"",""15601920""]",6,1,0,
0,0,12,2022,10,,202210,"[]",3,3,1,
12,0,12,2022,28,,202228,"[30978149,2538678,30055484,30967638,30967258,30970479,30969433,30968116,2713032,6171870,2222671]",7,119,78,
12,0,13,2022,28,,202228,"[31023972,30987060,31019147,31010962,2333027,30884821,28116096,31012015,30987502,27301146,2006008,30986650]",7,78,50,
4,0,14,2022,28,,202228,"[31030586,24720901,30016388,31043631]",7,25,15,
7,0,15,2022,28,,202228,"[2881160,31081521,31093072,25584611,29986774,31087294]",7,36,21,
2,0,16,2022,28,,202228,"[30926576,31112829]",7,10,4,
